original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,, That's all,,
,,,,,,,,,,,,No,,
,,,,,,,,,,,,, Okay,
,,,,,,,,,,,,,, That's all
,,,,,,,,,,,,,,No
,,,,,,,,,,,,,,Okay
21482&21351_S.txt,A351,B482,10,9,2,2,3,2,2,0,2,,,
,,,,,,,,,,,, Thanks,,
,,,,,,,,,,,,What you about you?,,
,,,,,,,,,,,,,, Thanks
,,,,,,,,,,,,,,What you about you?
21486&21417_S.txt,A417,B486,17,12,2,2,3,3,2,1,3,,,
,,,,,,,,,,,, Yeah just sometimes, yeah just sometimes,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,, Yes,
,,,,,,,,,,,,,, Yeah just sometimes, yeah just sometimes
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Yes
21537&21460_S.txt,A460,B537,6,5,2,2,2,2,0,0,0,,,
21538&21507_S.txt,A538,B507,10,9,2,2,2,2,1,0,1,,,
,,,,,,,,,,,, V,,
,,,,,,,,,,,,,, V
21555&21450_S.txt,A450,B555,4,11,2,2,2,2,0,0,0,,,
22001&22113_S.txt,A113,B001,17,16,2,2,4,4,5,5,10,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,In the mall yeah,,
,,,,,,,,,,,,You're welcome,,
,,,,,,,,,,,,Yeah yeah,,
,,,,,,,,,,,,At night,,
,,,,,,,,,,,,, Next our store?,
,,,,,,,,,,,,,In Fla-in in the mall?,
,,,,,,,,,,,,,Successful,
,,,,,,,,,,,,,Alright,
,,,,,,,,,,,,,Yeah a nice idea,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Next our store?
,,,,,,,,,,,,,,In Fla-in in the mall?
,,,,,,,,,,,,,,Successful
,,,,,,,,,,,,,,Alright
,,,,,,,,,,,,,,In the mall yeah
,,,,,,,,,,,,,,You're welcome
,,,,,,,,,,,,,,Yeah yeah
,,,,,,,,,,,,,,At night
,,,,,,,,,,,,,,Yeah a nice idea
22019&22180_S.txt,A019,B180,36,34,2,2,4,4,9,10,18,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Yeah?,,
,,,,,,,,,,,,Thank you, B,,
,,,,,,,,,,,,Right,,
,,,,,,,,,,,,Uh huh,,
,,,,,,,,,,,,Mmm hmm,,
,,,,,,,,,,,,Yeah uh,,
,,,,,,,,,,,,Yeah great,,
,,,,,,,,,,,,, Yeah okay go ahead,
,,,,,,,,,,,,,Uh,
,,,,,,,,,,,,,And more education,
,,,,,,,,,,,,,Uh huh okay,
,,,,,,,,,,,,,People outside when uh somehow uh want to search and to read some uh something,
,,,,,,,,,,,,,Uh huh,
,,,,,,,,,,,,,What about you uh start what about,
,,,,,,,,,,,,,Not just a student or teacher,
,,,,,,,,,,,,,Uh okay um um,
,,,,,,,,,,,,,Then,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Yeah?
,,,,,,,,,,,,,,Yeah okay go ahead
,,,,,,,,,,,,,,Yeah great
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Thank you, B
,,,,,,,,,,,,,,And more education
,,,,,,,,,,,,,,Right
,,,,,,,,,,,,,,Uh huh okay
,,,,,,,,,,,,,,People outside when uh somehow uh want to search and to read some uh something
,,,,,,,,,,,,,,Uh huh
,,,,,,,,,,,,,,Mmm hmm
,,,,,,,,,,,,,,What about you uh start what about
,,,,,,,,,,,,,,Not just a student or teacher
,,,,,,,,,,,,,,Yeah uh
,,,,,,,,,,,,,,Uh okay um um
,,,,,,,,,,,,,,Then
22036&22125_S.txt,A036,B125,13,17,2,2,4,4,4,2,5,,,
,,,,,,,,,,,, Is gonna be very good because is gonna be cheaper more than the bookstore and you?,,
,,,,,,,,,,,,Let's do it,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,There is some weaknesses but is not gonna be more than the strength,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,There is some weaknesses but is not gonna be more than the strength
,,,,,,,,,,,,,,Is gonna be very good because is gonna be cheaper more than the bookstore and you?
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Let's do it
22040&22352_S.txt,A352,B040,27,25,2,2,4,4,4,4,8,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Uh-huh?,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,Well uh okay,,
,,,,,,,,,,,,, You're welcome,
,,,,,,,,,,,,,Yeah?,
,,,,,,,,,,,,,Let me let me tell you the uh the strength,
,,,,,,,,,,,,,Uh but how about your weaknesses?,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah?
,,,,,,,,,,,,,,Let me let me tell you the uh the strength
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,You're welcome
,,,,,,,,,,,,,,Uh but how about your weaknesses?
,,,,,,,,,,,,,,Uh-huh?
,,,,,,,,,,,,,,Well uh okay
22050&22347_S.txt,A347,B050,17,16,2,2,4,4,2,4,6,,,
,,,,,,,,,,,, Uh,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,, What about you?,
,,,,,,,,,,,,,You,
,,,,,,,,,,,,,Yeah thanks so much,
,,,,,,,,,,,,,NTA more than the man NTA good opportunity for me for woman,
,,,,,,,,,,,,,, NTA more than the man NTA good opportunity for me for woman
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Yeah thanks so much
,,,,,,,,,,,,,,You
22052&22546_S.txt,A546,B052,11,9,2,2,3,4,3,4,6,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,And uh,,
,,,,,,,,,,,,Thank you NTA,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Uh,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,Enough money,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Thank you NTA
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Enough money
,,,,,,,,,,,,,,And uh
,,,,,,,,,,,,,,Yes
22069&22147_S.txt,A147,B069,31,30,2,2,4,4,9,10,18,,,
,,,,,,,,,,,, Yeah drive through and one of my threats,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,NTA Yeah,,
,,,,,,,,,,,,Or craigslist,,
,,,,,,,,,,,,NTA,,
,,,,,,,,,,,,Yeah, that's,,
,,,,,,,,,,,,Uh hi B,,
,,,,,,,,,,,,Like a drive through like a drive through,,
,,,,,,,,,,,,B,,
,,,,,,,,,,,,, A lot of sugar?,
,,,,,,,,,,,,,Has,
,,,,,,,,,,,,,Hi A,
,,,,,,,,,,,,,NTA,
,,,,,,,,,,,,,Right?,
,,,,,,,,,,,,,So what about the threats?,
,,,,,,,,,,,,,It's popular,
,,,,,,,,,,,,,And uh,
,,,,,,,,,,,,,Yes?,
,,,,,,,,,,,,,Opportunities,
,,,,,,,,,,,,,, A lot of sugar?
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Has
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,NTA Yeah
,,,,,,,,,,,,,,Yeah drive through and one of my threats
,,,,,,,,,,,,,,Or craigslist
,,,,,,,,,,,,,,NTA
,,,,,,,,,,,,,,It's popular
,,,,,,,,,,,,,,Right?
,,,,,,,,,,,,,,So what about the threats?
,,,,,,,,,,,,,,Yeah, that's
,,,,,,,,,,,,,,Uh hi B
,,,,,,,,,,,,,,Like a drive through like a drive through
,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,And uh
,,,,,,,,,,,,,,Yes?
,,,,,,,,,,,,,,Opportunities
22080&22207_S.txt,A207,B080,11,13,2,2,4,4,2,0,2,,,
,,,,,,,,,,,, Okay thank you,,
,,,,,,,,,,,,Oh,,
,,,,,,,,,,,,,, Okay thank you
,,,,,,,,,,,,,,Oh
22084&22320_S.txt,A320,B084,20,20,2,2,4,4,5,3,8,,,
,,,,,,,,,,,, Uh well okay but there are uh many uh fashion store in uh the mall,,
,,,,,,,,,,,,Thank you very much B,,
,,,,,,,,,,,,Store,,
,,,,,,,,,,,,Hello B,,
,,,,,,,,,,,,Well okay,,
,,,,,,,,,,,,, Go ahead and discuss with me,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Uh hello uh A,
,,,,,,,,,,,,,, Uh well okay but there are uh many uh fashion store in uh the mall
,,,,,,,,,,,,,,Thank you very much B
,,,,,,,,,,,,,,Store
,,,,,,,,,,,,,,Hello B
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Uh hello uh A
,,,,,,,,,,,,,,Well okay
,,,,,,,,,,,,,,Go ahead and discuss with me
22092&22090_S.txt,A090,B092,17,19,2,2,4,4,5,3,8,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Uh huh,,
,,,,,,,,,,,,You know,,
,,,,,,,,,,,,This place,,
,,,,,,,,,,,,About it,,
,,,,,,,,,,,,, Yeah I,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,That's better,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,That's better
,,,,,,,,,,,,,,Yeah I
,,,,,,,,,,,,,,Uh huh
,,,,,,,,,,,,,,You know
,,,,,,,,,,,,,,This place
,,,,,,,,,,,,,,About it
22095&22511_S.txt,A511,B095,9,6,2,2,4,4,0,0,0,,,
22096&22364_S.txt,A096,B364,13,15,2,2,4,4,3,5,8,,,
,,,,,,,,,,,, There is many people like uh like to eat burger also about the location uh what about your uh what about you, B?,,
,,,,,,,,,,,,What about your threats, B?,,
,,,,,,,,,,,,Threat my threats maybe there are many stores like me uh uh pay burger uh in the mall,,
,,,,,,,,,,,,, And what about the weakness, A?,
,,,,,,,,,,,,,What about the threat , A?,
,,,,,,,,,,,,,Good luck,
,,,,,,,,,,,,,What about uh your opportunity, A?,
,,,,,,,,,,,,,You too, A,
,,,,,,,,,,,,,, And what about the weakness, A?
,,,,,,,,,,,,,,There is many people like uh like to eat burger also about the location uh what about your uh what about you, B?
,,,,,,,,,,,,,,What about the threat , A?
,,,,,,,,,,,,,,What about your threats, B?
,,,,,,,,,,,,,,Good luck
,,,,,,,,,,,,,,What about uh your opportunity, A?
,,,,,,,,,,,,,,You too, A
,,,,,,,,,,,,,,Threat my threats maybe there are many stores like me uh uh pay burger uh in the mall
22110&22476_S.txt,A110,B476,14,14,2,2,4,4,0,2,2,,,
,,,,,,,,,,,,, And B,
,,,,,,,,,,,,,Thank you,
,,,,,,,,,,,,,, And B
,,,,,,,,,,,,,,Thank you
22111&22155_S.txt,A111,B155,10,10,2,2,4,4,1,1,2,,,
,,,,,,,,,,,, Okay… thank you,,
,,,,,,,,,,,,, Okay thank you so much,
,,,,,,,,,,,,,, Okay thank you so much
,,,,,,,,,,,,,,Okay… thank you
22127&22303_S.txt,A127,B303,42,44,2,2,4,4,16,9,24,,,
,,,,,,,,,,,, Very close,,
,,,,,,,,,,,,Threat yeah,,
,,,,,,,,,,,,With weather coming and bad weather,,
,,,,,,,,,,,,But uh the people the people can't come,,
,,,,,,,,,,,,What?,,
,,,,,,,,,,,,Hi B,,
,,,,,,,,,,,,Uh the people-the people in the city needing the restaurant because want to eat curry and uh,,
,,,,,,,,,,,,Okay but what your weakness?,,
,,,,,,,,,,,,Yeah have free time and the people because the mall very close in the centre,,
,,,,,,,,,,,,For example raining,,
,,,,,,,,,,,,Not very far,,
,,,,,,,,,,,,Mmm hmm,,
,,,,,,,,,,,,Fine and you?,,
,,,,,,,,,,,,Very close in the centre,,
,,,,,,,,,,,,And uh wander, walking,,
,,,,,,,,,,,,In the restaurant,,
,,,,,,,,,,,,, in the mall but not in the street,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Uh-huh,
,,,,,,,,,,,,,Okay but this uh this uh in the mall not in the street or,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Hi,
,,,,,,,,,,,,,Mmm hmm,
,,,,,,,,,,,,,Yeah that,
,,,,,,,,,,,,,Good,
,,,,,,,,,,,,,, Very close
,,,,,,,,,,,,,,Threat yeah
,,,,,,,,,,,,,,But uh the people the people can't come
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Yeah have free time and the people because the mall very close in the centre
,,,,,,,,,,,,,,And uh wander, walking
,,,,,,,,,,,,,,In the restaurant
,,,,,,,,,,,,,,What?
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Not very far
,,,,,,,,,,,,,,Fine and you?
,,,,,,,,,,,,,,Yeah that
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,With weather coming and bad weather
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,For example raining
,,,,,,,,,,,,,,Hi
,,,,,,,,,,,,,,Mmm hmm
,,,,,,,,,,,,,,Good
,,,,,,,,,,,,,,in the mall but not in the street
,,,,,,,,,,,,,,Uh the people-the people in the city needing the restaurant because want to eat curry and uh
,,,,,,,,,,,,,,Okay but this uh this uh in the mall not in the street or
,,,,,,,,,,,,,,Okay but what your weakness?
,,,,,,,,,,,,,,Very close in the centre
22135&22326_S.txt,A326,B135,8,11,2,2,3,3,2,1,3,,,
,,,,,,,,,,,, Hi B,,
,,,,,,,,,,,,What your opinion?,,
,,,,,,,,,,,,, Hi,
,,,,,,,,,,,,,, Hi
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,What your opinion?
22139&22051_S.txt,A051,B139,21,16,2,2,4,4,4,2,6,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Mmm,,
,,,,,,,,,,,,Thank you very much,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,, Welcome,
,,,,,,,,,,,,,I agree,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Welcome
,,,,,,,,,,,,,,Thank you very much
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Mmm
,,,,,,,,,,,,,,I agree
22174&22043_S.txt,A043,B174,11,14,2,2,4,4,2,4,6,,,
,,,,,,,,,,,, Okay thank you,,
,,,,,,,,,,,,Clothes a lot of clothes?,,
,,,,,,,,,,,,, Hello Mr,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,A,
,,,,,,,,,,,,,Uh thanks,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Hello Mr
,,,,,,,,,,,,,,Okay thank you
,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,Uh thanks
,,,,,,,,,,,,,,Clothes a lot of clothes?
22179&22150_S.txt,A150,B179,23,22,2,2,4,4,8,7,14,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Clothes?,,
,,,,,,,,,,,,Uh huh,,
,,,,,,,,,,,,But uh why your choice clothes?,,
,,,,,,,,,,,,Like uh Polo or,,
,,,,,,,,,,,,Hello Sir B,,
,,,,,,,,,,,,But uh,,
,,,,,,,,,,,,Good,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,What about you?,
,,,,,,,,,,,,,Uh,
,,,,,,,,,,,,,Polo and uh Armani Jeans and uh,
,,,,,,,,,,,,,Uh hello,
,,,,,,,,,,,,,Uh okay uh stre-uh because uh the strength uh a new uh style uh every years,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh okay uh stre-uh because uh the strength uh a new uh style uh every years
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Polo and uh Armani Jeans and uh
,,,,,,,,,,,,,,Clothes?
,,,,,,,,,,,,,,Uh huh
,,,,,,,,,,,,,,Uh hello
,,,,,,,,,,,,,,But uh why your choice clothes?
,,,,,,,,,,,,,,Like uh Polo or
,,,,,,,,,,,,,,Hello Sir B
,,,,,,,,,,,,,,But uh
,,,,,,,,,,,,,,Good
22182&22340_S.txt,A340,B182,34,32,2,2,4,4,12,7,18,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Thank you very much,,
,,,,,,,,,,,,Love the fried chicken,,
,,,,,,,,,,,,Wow,,
,,,,,,,,,,,,Nice to see you, B,,
,,,,,,,,,,,,What about your fry chicken weaknesses?,,
,,,,,,,,,,,,To compare that for our-to explain that for American,,
,,,,,,,,,,,,Thank you very much thank you, B,,
,,,,,,,,,,,,What about your abilities, B?,,
,,,,,,,,,,,,And the weaknesses and the opportunity …,,
,,,,,,,,,,,,It's hard,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Mmm,
,,,,,,,,,,,,,Come on,
,,,,,,,,,,,,,Mmm hmm,
,,,,,,,,,,,,,Nice to see you too my friend,
,,,,,,,,,,,,,Uh in Flagstaff mall for example uh there's a lot of family there and familieswill,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Thank you very much
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,And the weaknesses and the opportunity …
,,,,,,,,,,,,,,Love the fried chicken
,,,,,,,,,,,,,,Mmm
,,,,,,,,,,,,,,Come on
,,,,,,,,,,,,,,Wow
,,,,,,,,,,,,,,Nice to see you, B
,,,,,,,,,,,,,,What about your fry chicken weaknesses?
,,,,,,,,,,,,,,To compare that for our-to explain that for American
,,,,,,,,,,,,,,Mmm hmm
,,,,,,,,,,,,,,Thank you very much thank you, B
,,,,,,,,,,,,,,What about your abilities, B?
,,,,,,,,,,,,,,Nice to see you too my friend
,,,,,,,,,,,,,,Uh in Flagstaff mall for example uh there's a lot of family there and familieswill
,,,,,,,,,,,,,,It's hard
,,,,,,,,,,,,,,Yes
22199&22039_S.txt,A199,B039,36,37,2,2,4,4,13,12,24,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,B?,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Yeah, serve hamburger yeah,,
,,,,,,,,,,,,Hello uh Mr,,
,,,,,,,,,,,,Yeah that's,,
,,,,,,,,,,,,Whether women and uh men,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,And the,,
,,,,,,,,,,,,For your attention and uh,,
,,,,,,,,,,,,Yeah yeah yeah,,
,,,,,,,,,,,,Burger,,
,,,,,,,,,,,,Thank you, B for your,,
,,,,,,,,,,,,, NTA,
,,,,,,,,,,,,,And thank you Mr,
,,,,,,,,,,,,,And there's no customers around,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Okay thank you,
,,,,,,,,,,,,,The mall uh outside the city,
,,,,,,,,,,,,,A about the threats,
,,,,,,,,,,,,,A to listen for us,
,,,,,,,,,,,,,But,
,,,,,,,,,,,,,Serve hamburger,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,Yes yeah,
,,,,,,,,,,,,,, B?
,,,,,,,,,,,,,,Yeah that's
,,,,,,,,,,,,,,NTA
,,,,,,,,,,,,,,Thank you, B for your
,,,,,,,,,,,,,,A about the threats
,,,,,,,,,,,,,,Yes yeah
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Yeah, serve hamburger yeah
,,,,,,,,,,,,,,Whether women and uh men
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,And there's no customers around
,,,,,,,,,,,,,,For your attention and uh
,,,,,,,,,,,,,,A to listen for us
,,,,,,,,,,,,,,But
,,,,,,,,,,,,,,Okay thank you
,,,,,,,,,,,,,,Serve hamburger
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,And thank you Mr
,,,,,,,,,,,,,,The mall uh outside the city
,,,,,,,,,,,,,,Burger
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Hello uh Mr
,,,,,,,,,,,,,,And the
,,,,,,,,,,,,,,Yeah yeah yeah
22200&22052_S.txt,A052,B200,17,16,2,2,4,4,5,3,7,,,
,,,,,,,,,,,, Yeah uh uh so in the end which one?,,
,,,,,,,,,,,,Thanks for listening,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,Manager,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,, Manager in the mall uh to to find me a big uh store,
,,,,,,,,,,,,,Thank you,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah uh uh so in the end which one?
,,,,,,,,,,,,,,Thanks for listening
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Manager
,,,,,,,,,,,,,,Manager in the mall uh to to find me a big uh store
,,,,,,,,,,,,,,Okay
22200&22323_S.txt,A200,B323,27,21,2,2,3,3,8,5,12,,,
,,,,,,,,,,,, Uh because the coffee shop you can't lose a lot of money like Arabic restaurant and,,
,,,,,,,,,,,,Mmhmm,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,Hi B,,
,,,,,,,,,,,,Thank you, B,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,K,,
,,,,,,,,,,,,Oh,,
,,,,,,,,,,,,, What you-what your opinion about that?,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Thank you, A,
,,,,,,,,,,,,,And another uh location,
,,,,,,,,,,,,,What about you?,
,,,,,,,,,,,,,, Uh because the coffee shop you can't lose a lot of money like Arabic restaurant and
,,,,,,,,,,,,,,Mmhmm
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Hi B
,,,,,,,,,,,,,,Thank you, B
,,,,,,,,,,,,,,What you-what your opinion about that?
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Thank you, A
,,,,,,,,,,,,,,K
,,,,,,,,,,,,,,And another uh location
,,,,,,,,,,,,,,What about you?
,,,,,,,,,,,,,,Oh
22213&22098_S.txt,A098,B213,20,18,2,2,3,4,3,5,7,,,
,,,,,,,,,,,, Arabic restaurant,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,Okay okay uh okay okay,,
,,,,,,,,,,,,, If,
,,,,,,,,,,,,,Not for reading books or something like that,
,,,,,,,,,,,,,Uh-huh,
,,,,,,,,,,,,,I'm good,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,, If
,,,,,,,,,,,,,,Arabic restaurant
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Not for reading books or something like that
,,,,,,,,,,,,,,I'm good
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Okay okay uh okay okay
22225&22100_S.txt,A100,B225,18,17,2,2,4,4,4,2,6,,,
,,,,,,,,,,,, Thank you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Yeah good,,
,,,,,,,,,,,,Yeah, good,,
,,,,,,,,,,,,, What about you?,
,,,,,,,,,,,,,Sounds good,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Yeah good
,,,,,,,,,,,,,,Yeah, good
,,,,,,,,,,,,,,Sounds good
,,,,,,,,,,,,,,What about you?
22230&22229_S.txt,A230,B229,35,36,2,2,4,4,10,8,17,,,
,,,,,,,,,,,, Yeah, in Flagstaff,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,A lot of food uh and stuff from uh our country,,
,,,,,,,,,,,,For this uh store is that there are six-more than six uh hundred Arabic people,,
,,,,,,,,,,,,we,,
,,,,,,,,,,,,Hello B,,
,,,,,,,,,,,,For example Halal food,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,Actually uh just Arabic food,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,For example,
,,,,,,,,,,,,,Uh,
,,,,,,,,,,,,,Uh hi A,
,,,,,,,,,,,,,Thank you, A,
,,,,,,,,,,,,,Uh huh,
,,,,,,,,,,,,,Oh it's,
,,,,,,,,,,,,,Good,
,,,,,,,,,,,,,, Yeah, in Flagstaff
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,For example
,,,,,,,,,,,,,,A lot of food uh and stuff from uh our country
,,,,,,,,,,,,,,Actually uh just Arabic food
,,,,,,,,,,,,,,For this uh store is that there are six-more than six uh hundred Arabic people
,,,,,,,,,,,,,,we
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Hello B
,,,,,,,,,,,,,,Uh hi A
,,,,,,,,,,,,,,Thank you, A
,,,,,,,,,,,,,,Uh huh
,,,,,,,,,,,,,,Oh it's
,,,,,,,,,,,,,,For example Halal food
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Good
22232&22231_S.txt,A232,B231,57,60,2,2,4,4,16,9,23,,,
,,,,,,,,,,,, This my weakness,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,Great,,
,,,,,,,,,,,,Okay great!,,
,,,,,,,,,,,,Okay now about the threats,,
,,,,,,,,,,,,Okay thank you so much,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,Okay great,,
,,,,,,,,,,,,That's bad,,
,,,,,,,,,,,,Yes sure,,
,,,,,,,,,,,,Uh okay,,
,,,,,,,,,,,,Great, yes,,
,,,,,,,,,,,,Okay now about my opportunity-my opportu,,
,,,,,,,,,,,,Okay thank you,,
,,,,,,,,,,,,Oh,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,, Me too,
,,,,,,,,,,,,,Yeah,
,,,,,,,,,,,,,Uh-huh,
,,,,,,,,,,,,,Not just sushi,
,,,,,,,,,,,,,Your business very good,
,,,,,,,,,,,,,Okay,
,,,,,,,,,,,,,Thank you so much, A,
,,,,,,,,,,,,,in the week is boring,
,,,,,,,,,,,,,A lot of kinds like uh fish like uh uh shrimp some,
,,,,,,,,,,,,,, Uh-huh
,,,,,,,,,,,,,,Okay great!
,,,,,,,,,,,,,,That's bad
,,,,,,,,,,,,,,Me too
,,,,,,,,,,,,,,Great
,,,,,,,,,,,,,,Okay thank you so much
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,in the week is boring
,,,,,,,,,,,,,,Okay thank you
,,,,,,,,,,,,,,Oh
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,This my weakness
,,,,,,,,,,,,,,Your business very good
,,,,,,,,,,,,,,Yes sure
,,,,,,,,,,,,,,Great, yes
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Not just sushi
,,,,,,,,,,,,,,Okay now about the threats
,,,,,,,,,,,,,,Thank you so much, A
,,,,,,,,,,,,,,Okay great
,,,,,,,,,,,,,,Uh okay
,,,,,,,,,,,,,,Okay now about my opportunity-my opportu
,,,,,,,,,,,,,,A lot of kinds like uh fish like uh uh shrimp some
22235&22326_S.txt,A235,B326,13,7,2,2,4,4,3,0,3,,,
,,,,,,,,,,,, Uh and there is there is uh like uh one weaknesses uh however, there is one weakness in uh my uh store,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,Yes,,
,,,,,,,,,,,,,, Uh and there is there is uh like uh one weaknesses uh however, there is one weakness in uh my uh store
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Yes
22247&22551_S.txt,A247,B551,9,10,2,2,3,3,2,4,6,,,
,,,,,,,,,,,, Bye see you later,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,, Thank you,
,,,,,,,,,,,,,Bye,
,,,,,,,,,,,,,B,
,,,,,,,,,,,,,Good how about you NTA,
,,,,,,,,,,,,,, Thank you
,,,,,,,,,,,,,,Good how about you NTA
