original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,,,,Uh… so… the smoking just bring a lot of disease
,,,,,,,,,,,,,,Uh
,,,,,,,,,,,,,,Let's start story about NTA
02205&02348_A.txt,A205,B348,31,18,1,1,3,3,4,1,5,,,
,,,,,,,,,,,, Just try for one week,,
,,,,,,,,,,,,So try it for one week, you won't lose anything,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,Thanks,,
,,,,,,,,,,,,, Thank you very much,
,,,,,,,,,,,,,, Thank you very much
,,,,,,,,,,,,,,Thanks
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Just try for one week
,,,,,,,,,,,,,,So try it for one week, you won't lose anything
02214&02539_A.txt,A214,B539,20,24,1,1,4,4,4,6,10,,,
,,,,,,,,,,,, Yeah uh,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Bad for health,,
,,,,,,,,,,,,You're welcome,,
,,,,,,,,,,,,, Thirty years?,
,,,,,,,,,,,,,Bad for health, yeah,
,,,,,,,,,,,,,Please,
,,,,,,,,,,,,,and,
,,,,,,,,,,,,,Thank you dad,
,,,,,,,,,,,,,Hello dad,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Bad for health
,,,,,,,,,,,,,,Thirty years?
,,,,,,,,,,,,,,Bad for health, yeah
,,,,,,,,,,,,,,Please
,,,,,,,,,,,,,,and
,,,,,,,,,,,,,,Thank you dad
,,,,,,,,,,,,,,You're welcome
,,,,,,,,,,,,,,Hello dad
,,,,,,,,,,,,,,Yeah uh
02215&02111_B.txt,A111,B215,10,7,1,1,3,3,3,0,3,,,
,,,,,,,,,,,, Uh thank you,,
,,,,,,,,,,,,Thank you,,
,,,,,,,,,,,,Uh the memory uh 8,,
,,,,,,,,,,,,,, Uh thank you
,,,,,,,,,,,,,,Thank you
,,,,,,,,,,,,,,Uh the memory uh 8
02220&02032_B.txt,A220,B032,6,4,1,1,2,2,2,0,2,,,
,,,,,,,,,,,, What about B NTA?,,
,,,,,,,,,,,,Okay, thank you,,
,,,,,,,,,,,,,, What about B NTA?
,,,,,,,,,,,,,,Okay, thank you
02225&02286_B.txt,A286,B225,13,11,1,1,4,4,4,2,6,,,
,,,,,,,,,,,, Okay, thank you,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,You s,,
,,,,,,,,,,,,Yeah uh, hi B,,
,,,,,,,,,,,,, And a small memory card for uh two mega,
,,,,,,,,,,,,,Hi A,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Hi A
,,,,,,,,,,,,,,Yeah uh, hi B
,,,,,,,,,,,,,,And a small memory card for uh two mega
,,,,,,,,,,,,,,Okay, thank you
,,,,,,,,,,,,,,You s
02236&02190_B.txt,A190,B236,14,10,1,1,4,4,1,3,4,,,
,,,,,,,,,,,, Just come with me,,
,,,,,,,,,,,,, Oh really?,
,,,,,,,,,,,,,Thank you for this A,
,,,,,,,,,,,,,Yes,
,,,,,,,,,,,,,, Oh really?
,,,,,,,,,,,,,,Just come with me
,,,,,,,,,,,,,,Yes
,,,,,,,,,,,,,,Thank you for this A
02240&02221_C.txt,A240,B221,8,12,1,1,4,4,2,3,5,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Yeah sure,,
,,,,,,,,,,,,, Need to,
,,,,,,,,,,,,,Stop people smoking,
